id,CC2-aug-cc-pVDZ,CC2-cc-pVDZ,EOM-CCSD-aug-cc-pVDZ,EOM-CCSD-cc-pVDZ
mol1_1n_2nme_tbu,-0.08,-0.104,,0.06
mol1_1n_2nme,-0.109,-0.136,0.043,0.017
mol1_2n_2nme,0.125,0.082,,0.299
mol1_1n_2nh2,,,0.019,
mol1_2n_4nh2,0.826,0.814,1.079,1.057
mol1_2n_4nme2,0.944,0.978,,1.196
mol1_2n_2nh2,,,0.281,
mol1_2n,0.369,0.426,0.542,0.596
mol1_2nh,0.888,1.835,1.258,2.166
mol1_2nh2_1,-0.147,-0.164,-0.024,-0.038
mol1_2nh2_2,0.597,0.642,0.779,0.826
mol1_2nme2,-0.133,-0.157,,-0.031
mol1_4nh2,-0.057,-0.031,0.129,0.154
mol1_2oh_1,0.145,0.147,0.287,0.285
mol1_2oh_2,0.761,0.806,0.984,1.032
mol1_2ome,0.089,0.095,0.233,0.235
mol1_4oh_1,-0.244,-0.258,-0.115,-0.1
mol1_4oh_1alt,-0.14,-0.141,,-0.027
mol1_4me,0.605,0.664,0.816,0.877
mol1_4ome,-0.224,-0.24,-0.108,-0.12
mol3_4nh2,0.545,0.613,,0.955
mol3_2cf3,0.622,0.676,,1.047
mol7_1n,0.441,0.496,0.829,0.897
mol7_1p,0.158,0.196,0.443,0.496
mol7_1p2cl,0.203,0.235,,0.432
mol7_1p2ome,0.278,0.319,,0.514
mol7_2n,0.134,0.141,0.936,0.918
mol7_2p,-0.127,-0.1,0.092,0.113
mol7_2p2cl,0.112,0.136,0.292,0.316
mol7_2p2ome,0.269,0.314,,0.52
mol7_2nh,0.153,0.168,0.348,0.371
mol7_2cn26,0.175,0.206,,0.576
mol7_2nh2_1,-0.168,-0.185,-0.072,-0.088
mol7_2nh2_2,0.486,0.515,1.031,0.796
mol7_2nme2_1,-0.171,-0.191,,-0.037
mol7_2oh_1,-0.199,-0.216,-0.081,-0.042
mol7_2oh_2,0.492,0.52,0.776,0.81
mol7_2oh_3,0.257,0.283,0.456,0.476
mol7_2me,0.251,0.28,,0.577
mol7_2ome,-0.196,-0.172,-0.002,0.027
mol7_4oh,1.451,0.843,1.022,1.033
mol7_4nh2,1.046,1.098,,1.295
mol7_4oh,1.451,0.843,1.021,1.033
mol7_4ome,0.636,0.662,,0.864
mol18_4cn_center,0.268,0.311,,0.214
mol18_4nh2_out,0.593,0.629,,0.804
mol18_diquino,0.737,0.988,,1.143
mol18_tetraquino,0.237,0.25,,0.766
mol24_3nh2,0.45,0.5,,0.857
mol25_2nh2_1,0.149,0.161,,0.347
mol25_2nh2_2,0.261,0.274,,0.426
mol25_2oh_1,0.006,0.008,,0.187
mol36_2nh2_2me,0.746,0.802,,1.206
mol36_2nme,0.885,0.907,,1.242
mol36_2nme_2me,0.743,0.761,,1.079
mol36_2ome,0.832,0.878,,1.294
mol36_4oh,0.892,0.968,,1.234
mol36_4ome,0.954,1.004,,1.27
mol36_4nh2,0.931,1.011,,1.282
mol39_2nh2,0.799,0.819,,1.12
mol39_2oh,0.939,0.975,,1.2
mol39_4nh2,1.099,1.133,,1.52
mol39_4oh,0.531,0.587,,0.771
mol50_2nh2_pent,0.619,0.669,,0.908
mol50_2oh_benz,0.518,0.563,,0.654
mol50_2oh_pent,0.609,0.651,,0.935
mol50_4nh2_benz,0.521,0.59,,0.744
mol50_4oh_benz,0.522,0.563,,0.676
mol117_2cn,-0.116,-0.126,,-0.055
mol117_2nh2,-0.15,-0.166,,-0.095
mol117_2oh_benz,-0.099,-0.109,,-0.032
mol117_2oh,-0.153,-0.166,-0.085,-0.099
mol117_2ome,-0.118,-0.129,,-0.046
mol117_4oh_1,-0.17,-0.151,,-0.041
mol117_4oh_2,0.139,0.145,,0.313
mol158_2nh2,0.905,0.983,,1.44
mol184_4cn,0.592,0.641,,1.092